Gene stable ID	Source of gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Caenorhabditis elegans gene stable ID	Caenorhabditis elegans gene name	Caenorhabditis elegans homology type	Caenorhabditis elegans chromosome/scaffold name	Caenorhabditis elegans chromosome/scaffold start (bp)	Caenorhabditis elegans chromosome/scaffold end (bp)	Gene name	Strand	%id. target Caenorhabditis elegans gene identical to query gene	%id. query gene identical to target Caenorhabditis elegans gene
ENSG00000198888	HGNC Symbol	MT	3307	4262	WBGene00010959	nduo-1	ortholog_one2one	MtDNA	1763	2635	MT-ND1	1	32.3899	35.3952
ENSG00000198804	HGNC Symbol	MT	5904	7445	WBGene00010964	ctc-1	ortholog_one2one	MtDNA	7827	9428	MT-CO1	1	60.4288	59.0476
ENSG00000198712	HGNC Symbol	MT	7586	8269	WBGene00010965	ctc-2	ortholog_one2one	MtDNA	9649	10348	MT-CO2	1	39.6476	38.961
ENSG00000198938	HGNC Symbol	MT	9207	9990	WBGene00010962	ctc-3	ortholog_one2one	MtDNA	5678	6449	MT-CO3	1	42.1456	43.1373
ENSG00000198886	HGNC Symbol	MT	10760	12137	WBGene00010963	nduo-4	ortholog_one2one	MtDNA	6506	7808	MT-ND4	1	26.5795	29.8289
ENSG00000276345	Clone-based (Ensembl) gene	KI270721.1	2585	11802	WBGene00020348	mrpl-23	ortholog_one2many	I	6211270	6211885	AC004556.1	1	30.719	29.5597
ENSG00000198786	HGNC Symbol	MT	12337	14148	WBGene00010967	nduo-5	ortholog_one2one	MtDNA	11691	13272	MT-ND5	1	24.2123	27.704
ENSG00000198727	HGNC Symbol	MT	14747	15887	WBGene00000829	ctb-1	ortholog_one2one	MtDNA	4504	5621	MT-CYB	1	42.3684	43.5135
ENSG00000274847	HGNC Symbol	GL000194.1	53594	115055	WBGene00019828	R02E12.4	ortholog_one2many	X	4003532	4007634	MAFIP	-1	20.155	4.06886
ENSG00000013503	HGNC Symbol	12	106357658	106510198	WBGene00017300	rpc-2	ortholog_one2one	III	5557344	5564837	POLR3B	1	63.7246	62.565
ENSG00000136051	HGNC Symbol	12	105107324	105169134	WBGene00013167	Y53F4B.21	ortholog_one2one	II	15090172	15109042	WASHC4	1	18.8245	19.3013
ENSG00000160752	HGNC Symbol	1	155308748	155320666	WBGene00011058	fdps-1	ortholog_one2one	I	11917834	11923915	FDPS	1	27.9236	33.2386
ENSG00000111780	Clone-based (Ensembl) gene	12	120438198	120460006	WBGene00013433	Y66D12A.7	ortholog_one2many	III	11579265	11580478	AL021546.1	1	24.4048	23.4286
ENSG00000111775	HGNC Symbol	12	120438090	120440742	WBGene00006519	tag-174	ortholog_one2many	III	5081726	5082995	COX6A1	1	32.1101	27.3438
ENSG00000111786	HGNC Symbol	12	120461668	120469793	WBGene00004700	rsp-3	ortholog_one2many	III	12686243	12687916	SRSF9	-1	57.4661	49.2248
ENSG00000067334	HGNC Symbol	1	93866283	93879918	WBGene00021715	Y49F6B.2	ortholog_one2one	II	3502968	3504910	DNTTIP2	-1	10.1852	30.5556
ENSG00000011007	HGNC Symbol	1	23743155	23762059	WBGene00010990	R03D7.4	ortholog_one2many	II	10943390	10945660	ELOA	1	12.782	23.5023
ENSG00000160691	HGNC Symbol	1	154962298	154974395	WBGene00018788	shc-1	ortholog_one2many	I	969089	976550	SHC1	-1	18.1507	33.5443
